City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,cobija,-11.0267,-68.7692,71.87,99,99,4.29,BO,1686622604
312,celestun,20.8667,-90.4,83.46,81,0,13.35,MX,1686622604
313,perry,37.2506,-83.1999,64.58,90,45,4.07,US,1686622605
314,huanuco,-9.9329,-76.2415,62.01,92,61,2.8,PE,1686622605
315,novyy urgal,51.0736,132.5642,74.39,54,58,1.12,RU,1686622605
316,silifke,36.3778,33.9344,68.92,82,2,1.25,TR,1686622605
317,tralee,52.2704,-9.7026,59.65,94,87,2.06,IE,1686622605
318,komsomol'skiy,43.9783,46.6985,70.66,57,46,5.48,RU,1686622605
319,peterhead,57.5058,-1.7981,58.44,96,98,7.56,GB,1686622605
320,khandyga,62.6667,135.6,52.84,65,100,5.03,RU,1686622605
321,necochea,-38.5473,-58.7368,48.18,73,100,7.87,AR,1686622605
322,qurayyat,31.3318,37.3428,68.18,45,0,4.61,SA,1686622605
323,pace,30.5994,-87.1611,78.78,88,75,6.91,US,1686622605
324,arno,60.1167,18.6333,52.79,66,15,8.93,SE,1686622606
325,freetown,8.484,-13.2299,76.84,87,99,4.76,SL,1686622606
326,sao felix do xingu,-6.6447,-51.995,73.6,79,10,2.24,BR,1686622606
327,andergrove,-21.0833,149.1833,80.65,72,1,6.89,AU,1686622606
328,la mira,18.035,-102.3266,80.74,75,3,7.25,MX,1686622606
329,kovancilar,38.7214,39.8681,64.36,60,64,2.53,TR,1686622606
330,kerikeri,-35.2268,173.9474,62.91,66,1,7.43,NZ,1686622606
331,mili,6.0815,171.735,83.12,80,100,17.22,MH,1686622520
332,walvis bay,-22.9575,14.5053,55.09,87,0,8.93,NA,1686622450
333,launceston,-41.45,147.1667,58.6,78,100,8.05,AU,1686622606
334,port alfred,-33.5906,26.891,56.59,66,100,14.14,ZA,1686622606
335,padang,-0.9492,100.3543,84.25,71,88,1.39,ID,1686622607
336,darchula,29.8412,80.5287,77.11,61,83,1.63,NP,1686622607
337,geneina,13.45,22.45,78.69,57,100,2.44,SD,1686622607
338,fisterra,42.9049,-9.2629,63.01,93,91,8.19,ES,1686622308
339,kashgar,39.4547,75.9797,83.41,20,40,6.71,CN,1686622607
340,imbituba,-28.24,-48.6703,57.85,75,100,9.98,BR,1686622607
341,kill devil hills,36.0307,-75.676,71.98,90,40,14.97,US,1686622607
342,dompu,-8.5356,118.4622,80.69,67,92,6.93,ID,1686622607
343,billings,45.7833,-108.5007,73.17,62,75,8.05,US,1686622389
344,nchelenge,-9.3451,28.734,65.79,60,28,5.32,ZM,1686622607
345,sitka,57.0531,-135.33,53.49,62,75,13.8,US,1686622607
